ID,Пол,Возраст,День недели,Потраченная сумма,Время покупки
51,Женский,14,Четверг,1484.65,18:05:00
52,Женский,21,Четверг,610.98,19:31:00
53,Женский,19,Вторник,256.18,18:38:00
54,Женский,23,Четверг,433.96,20:14:00
55,Женский,34,Суббота,435.18,18:06:00
56,Женский,38,Понедельник,667.62,12:30:00
57,Мужской,58,Понедельник,1274.75,19:08:00
58,Мужской,20,Четверг,50.0,13:25:00
59,Мужской,49,Воскресенье,1287.81,10:58:00
60,Мужской,31,Пятница,1371.14,13:16:00
61,Мужской,34,Пятница,526.12,11:28:00
62,Мужской,45,Четверг,1959.64,15:13:00
63,Женский,18,Пятница,915.4,18:35:00
64,Мужской,40,Понедельник,1615.29,11:02:00
65,Мужской,37,Пятница,711.08,13:28:00
66,Женский,42,Воскресенье,1567.26,16:12:00
67,Мужской,39,Пятница,534.03,12:09:00
68,Женский,71,Воскресенье,2165.12,19:04:00
69,Мужской,25,Суббота,885.92,10:12:00
70,Женский,27,Вторник,1116.63,20:33:00
71,Женский,25,Воскресенье,212.2,11:45:00
72,Мужской,26,Понедельник,372.47,16:14:00
73,Мужской,25,Пятница,1098.61,19:41:00
74,Женский,52,Вторник,865.83,19:46:00
75,Женский,56,Понедельник,1651.6,19:37:00
76,Женский,26,Четверг,136.43,11:38:00
77,Женский,22,Среда,1164.09,19:53:00
78,Мужской,42,Четверг,523.74,17:46:00
79,Мужской,26,Пятница,1096.15,13:11:00
80,Мужской,44,Понедельник,1492.82,13:24:00
81,Женский,38,Вторник,711.61,17:46:00
82,Женский,12,Пятница,831.01,19:17:00
83,Мужской,58,Среда,1590.22,10:23:00
84,Мужской,61,Суббота,1250.58,14:23:00
85,Мужской,25,Пятница,295.72,13:35:00
86,Мужской,29,Суббота,50.0,16:00:00
87,Женский,39,Пятница,1254.83,15:23:00
88,Женский,40,Четверг,317.6,08:14:00
89,Женский,44,Пятница,1227.67,11:36:00
90,Мужской,65,Среда,1468.28,16:11:00
91,Мужской,32,Среда,1279.57,19:06:00
92,Женский,23,Суббота,608.98,13:02:00
93,Женский,14,Четверг,415.28,18:29:00
94,Женский,24,Суббота,1145.94,17:46:00
95,Женский,34,Суббота,1147.53,20:11:00
96,Женский,61,Воскресенье,1678.08,16:38:00
97,Женский,27,Воскресенье,1074.63,19:01:00
98,Мужской,38,Четверг,292.21,17:46:00
99,Мужской,34,Среда,1358.39,15:04:00
100,Мужской,52,Пятница,1646.23,10:23:00
101,Мужской,72,Четверг,1231.66,09:50:00
102,Женский,27,Пятница,717.96,13:51:00
103,Мужской,27,Суббота,820.35,21:30:00
104,Женский,50,Пятница,1232.75,17:43:00
105,Женский,45,Четверг,1366.93,17:51:00
106,Мужской,62,Вторник,2255.68,16:19:00
107,Мужской,43,Четверг,1700.88,17:54:00
108,Женский,29,Вторник,223.89,19:13:00
109,Мужской,43,Воскресенье,1471.03,12:32:00
110,Мужской,51,Среда,1984.47,19:42:00
111,Мужской,47,Вторник,1433.4,10:52:00
112,Мужской,42,Понедельник,1685.49,08:06:00
113,Женский,51,Пятница,2326.14,10:34:00
114,Женский,52,Пятница,1851.85,16:41:00
115,Женский,55,Среда,1524.65,17:05:00
116,Женский,44,Понедельник,1702.54,17:07:00
117,Женский,32,Четверг,1012.44,18:37:00
118,Мужской,37,Среда,1051.95,13:34:00
119,Женский,53,Пятница,1184.29,10:13:00
120,Женский,22,Пятница,1521.71,14:44:00
121,Женский,40,Четверг,690.79,10:05:00
122,Женский,29,Среда,1646.18,17:18:00
123,Мужской,35,Воскресенье,1249.93,21:25:00
124,Мужской,54,Четверг,680.35,10:31:00
125,Мужской,37,Пятница,1223.82,15:30:00
126,Мужской,35,Вторник,50.0,18:57:00
127,Женский,14,Четверг,892.75,15:54:00
128,Женский,46,Понедельник,1662.62,16:01:00
129,Мужской,44,Пятница,883.82,12:43:00
130,Женский,67,Воскресенье,1701.77,09:14:00
131,Мужской,30,Четверг,1877.08,12:45:00
132,Мужской,38,Понедельник,807.13,13:08:00
133,Мужской,38,Понедельник,530.55,11:17:00
134,Мужской,58,Четверг,2200.83,18:01:00
135,Женский,33,Вторник,1941.29,21:27:00
136,Мужской,39,Понедельник,1081.85,10:20:00
137,Женский,44,Суббота,1685.73,17:25:00
138,Женский,37,Четверг,1710.74,13:03:00
139,Мужской,28,Среда,488.76,13:41:00
140,Женский,37,Воскресенье,797.35,15:27:00
141,Женский,51,Вторник,1935.44,10:58:00
142,Мужской,19,Воскресенье,1522.51,18:35:00
143,Женский,36,Среда,1301.44,11:51:00
144,Мужской,24,Воскресенье,340.09,10:58:00
145,Мужской,52,Пятница,2333.53,13:26:00
146,Мужской,12,Суббота,274.51,15:48:00
147,Женский,26,Воскресенье,652.43,21:08:00
148,Женский,40,Среда,1271.17,11:10:00
149,Мужской,58,Воскресенье,2237.08,11:19:00
150,Мужской,34,Четверг,1406.99,15:11:00
151,Женский,26,Четверг,1027.43,21:47:00
152,Мужской,63,Среда,1791.64,08:34:00
153,Мужской,13,Пятница,581.76,18:05:00
154,Женский,10,Вторник,779.07,17:56:00
155,Женский,41,Пятница,50.0,18:15:00
156,Мужской,27,Пятница,691.7,18:38:00
157,Женский,19,Суббота,800.66,18:42:00
158,Женский,45,Суббота,624.49,08:00:00
159,Мужской,38,Четверг,1253.16,17:43:00
160,Женский,26,Среда,717.76,13:49:00
161,Мужской,15,Среда,1477.74,16:51:00
162,Женский,48,Вторник,2046.51,09:26:00
163,Женский,44,Понедельник,947.1,17:12:00
164,Женский,33,Среда,884.58,12:02:00
165,Мужской,62,Среда,1503.03,12:57:00
166,Женский,18,Воскресенье,434.17,16:57:00
167,Мужской,12,Пятница,637.51,15:02:00
168,Мужской,24,Среда,400.86,18:03:00
169,Мужской,34,Пятница,414.69,12:44:00
170,Женский,38,Вторник,1371.36,21:38:00
171,Женский,31,Четверг,1234.76,16:22:00
172,Мужской,40,Пятница,697.84,11:28:00
173,Женский,16,Четверг,1067.68,17:46:00
174,Мужской,56,Четверг,1104.21,15:11:00
175,Женский,33,Воскресенье,1086.58,16:28:00
176,Мужской,51,Воскресенье,1730.17,17:19:00
177,Женский,40,Пятница,1083.19,11:43:00
178,Мужской,41,Пятница,1347.37,08:02:00
179,Женский,43,Пятница,901.79,14:11:00
180,Мужской,41,Среда,1021.77,19:26:00
181,Мужской,44,Четверг,1077.07,15:25:00
182,Мужской,54,Понедельник,1006.71,18:10:00
183,Женский,37,Четверг,951.61,11:55:00
184,Женский,45,Пятница,425.69,12:29:00
185,Мужской,33,Среда,714.42,17:26:00
186,Женский,56,Воскресенье,1277.56,14:07:00
187,Женский,24,Воскресенье,651.91,14:12:00
188,Женский,62,Суббота,1419.25,13:16:00
189,Женский,34,Пятница,949.12,16:54:00
190,Мужской,13,Воскресенье,799.72,15:34:00
191,Мужской,36,Вторник,1457.26,10:23:00
192,Женский,24,Суббота,455.12,20:27:00
193,Женский,47,Вторник,638.4,19:02:00
194,Женский,25,Суббота,278.98,10:49:00
195,Мужской,28,Среда,616.4,18:21:00
196,Мужской,10,Воскресенье,324.04,17:25:00
197,Женский,28,Воскресенье,475.0,18:17:00
198,Женский,10,Вторник,50.0,19:34:00
199,Женский,11,Четверг,291.94,15:18:00
200,Женский,46,Воскресенье,1310.71,17:41:00
201,Женский,46,Четверг,1517.51,08:26:00
202,Мужской,41,Воскресенье,841.29,12:30:00
203,Мужской,20,Пятница,493.5,19:21:00
204,Женский,34,Четверг,516.65,14:06:00
205,Женский,34,Среда,964.28,19:50:00
206,Мужской,17,Среда,215.79,17:09:00
207,Мужской,57,Суббота,1726.56,17:18:00
208,Женский,48,Четверг,367.07,14:00:00
209,Мужской,31,Пятница,740.19,18:07:00
210,Мужской,35,Четверг,1150.55,15:51:00
211,Женский,38,Пятница,1151.92,21:40:00
212,Женский,10,Воскресенье,1846.52,18:15:00
213,Женский,31,Воскресенье,1094.9,13:41:00
214,Мужской,24,Четверг,277.97,10:00:00
215,Женский,19,Суббота,632.27,14:33:00
216,Мужской,30,Суббота,50.0,17:25:00
217,Мужской,61,Пятница,1479.7,09:18:00
218,Женский,44,Воскресенье,763.47,11:55:00
219,Женский,26,Среда,1277.7,15:33:00
220,Женский,43,Вторник,885.23,13:48:00
221,Женский,55,Воскресенье,1341.62,09:37:00
222,Женский,48,Четверг,942.22,09:21:00
223,Мужской,35,Суббота,1869.43,18:21:00
224,Мужской,25,Воскресенье,639.38,17:56:00
225,Мужской,45,Понедельник,2116.28,19:43:00
226,Мужской,40,Воскресенье,1507.08,17:09:00
227,Женский,48,Четверг,1501.03,08:13:00
228,Мужской,44,Пятница,1364.37,14:31:00
229,Женский,50,Пятница,1496.9,13:46:00
230,Женский,26,Воскресенье,50.0,15:09:00
231,Женский,54,Понедельник,1240.56,14:25:00
232,Женский,37,Четверг,1462.58,13:28:00
233,Женский,66,Пятница,1595.55,13:56:00
234,Женский,24,Суббота,77.41,20:00:00
235,Мужской,61,Пятница,1493.8,17:27:00
236,Женский,37,Вторник,1892.05,11:33:00
237,Мужской,25,Среда,1423.45,11:32:00
238,Мужской,27,Четверг,809.0,15:39:00
239,Женский,30,Суббота,1375.72,19:56:00
240,Мужской,41,Среда,936.75,15:24:00
241,Женский,42,Среда,288.06,08:21:00
242,Женский,26,Воскресенье,357.77,14:50:00
243,Женский,34,Понедельник,1761.44,18:04:00
244,Мужской,67,Воскресенье,1503.0,13:05:00
245,Мужской,60,Пятница,1378.31,18:33:00
246,Женский,41,Суббота,970.08,10:07:00
247,Мужской,35,Среда,1952.07,20:24:00
248,Женский,36,Понедельник,1832.98,14:32:00
249,Женский,44,Суббота,2289.39,15:21:00
250,Женский,19,Суббота,600.48,16:09:00
251,Мужской,31,Суббота,1067.81,12:11:00
252,Мужской,10,Вторник,50.0,15:24:00
253,Женский,40,Суббота,1838.47,16:01:00
254,Мужской,44,Суббота,596.11,14:29:00
255,Мужской,27,Пятница,948.39,19:52:00
256,Женский,58,Суббота,911.35,13:24:00
257,Женский,16,Суббота,325.57,15:08:00
258,Женский,13,Пятница,141.37,16:27:00
259,Женский,38,Понедельник,756.06,17:27:00
260,Мужской,50,Четверг,1030.44,16:47:00
261,Женский,60,Понедельник,1225.87,18:16:00
262,Женский,28,Четверг,1276.67,12:44:00
263,Мужской,51,Четверг,767.57,16:07:00
264,Женский,34,Понедельник,1090.27,21:52:00
265,Женский,32,Среда,1548.98,21:48:00
266,Женский,48,Вторник,1003.4,15:05:00
267,Женский,44,Суббота,821.04,19:36:00
268,Женский,11,Воскресенье,404.74,19:21:00
269,Мужской,57,Понедельник,2029.86,12:24:00
270,Мужской,55,Воскресенье,1497.05,18:11:00
271,Женский,25,Пятница,534.39,15:41:00
272,Женский,40,Среда,1341.94,12:37:00
273,Женский,42,Понедельник,588.85,19:13:00
274,Женский,38,Пятница,1400.68,17:18:00
275,Женский,26,Суббота,1024.3,12:36:00
276,Женский,24,Суббота,626.1,17:01:00
277,Женский,34,Понедельник,560.71,14:10:00
278,Женский,52,Понедельник,896.66,18:08:00
279,Женский,43,Четверг,1427.41,16:49:00
280,Женский,29,Среда,1494.49,15:26:00
281,Женский,46,Среда,901.35,09:36:00
282,Мужской,10,Среда,729.19,14:00:00
283,Мужской,52,Суббота,296.49,11:35:00
284,Мужской,10,Воскресенье,207.69,16:11:00
285,Женский,29,Четверг,864.47,14:19:00
286,Мужской,18,Воскресенье,205.16,16:04:00
287,Мужской,15,Среда,131.75,15:21:00
288,Женский,52,Четверг,1006.11,12:42:00
289,Мужской,27,Среда,986.1,21:22:00
290,Женский,40,Пятница,1006.34,08:58:00
291,Мужской,34,Воскресенье,50.0,19:03:00
292,Мужской,42,Пятница,79.65,10:40:00
293,Женский,36,Четверг,716.57,14:43:00
294,Мужской,15,Пятница,828.84,15:45:00
295,Мужской,49,Вторник,50.0,09:44:00
296,Женский,27,Воскресенье,590.13,17:18:00
297,Женский,11,Пятница,256.88,17:47:00
298,Мужской,28,Четверг,1554.17,21:39:00
299,Женский,57,Пятница,1247.49,17:41:00
300,Мужской,47,Пятница,1431.49,13:17:00
301,Мужской,29,Понедельник,950.63,17:43:00
302,Женский,29,Пятница,50.0,19:58:00
303,Женский,30,Среда,1284.1,17:51:00
304,Женский,66,Суббота,1727.7,08:55:00
305,Женский,40,Суббота,1354.13,18:24:00
306,Женский,41,Суббота,3083.12,08:12:00
307,Женский,50,Пятница,257.94,15:19:00
308,Мужской,38,Пятница,1922.35,10:17:00
309,Женский,31,Вторник,776.28,21:33:00
310,Мужской,32,Суббота,1083.66,11:52:00
311,Мужской,33,Среда,937.24,13:48:00
312,Мужской,34,Четверг,767.88,12:50:00
313,Мужской,45,Среда,915.08,12:54:00
314,Женский,35,Вторник,1164.75,13:08:00
315,Женский,45,Пятница,441.41,15:05:00
316,Женский,33,Понедельник,1335.29,11:18:00
317,Мужской,36,Суббота,811.9,20:57:00
318,Мужской,10,Среда,50.0,17:01:00
319,Мужской,48,Понедельник,1034.99,16:18:00
320,Мужской,40,Пятница,1728.57,19:47:00
321,Женский,49,Понедельник,1012.33,09:10:00
322,Женский,10,Среда,679.23,18:07:00
323,Женский,66,Суббота,1254.52,10:25:00
324,Мужской,32,Понедельник,1318.96,20:17:00
325,Женский,51,Суббота,1662.75,12:55:00
326,Женский,19,Понедельник,1604.3,15:09:00
327,Женский,44,Среда,1092.22,15:49:00
328,Женский,19,Суббота,1014.33,17:12:00
329,Мужской,25,Среда,849.03,11:07:00
330,Мужской,63,Вторник,2207.94,16:13:00
331,Мужской,32,Четверг,580.58,10:51:00
332,Женский,38,Среда,1432.5,16:02:00
333,Мужской,48,Суббота,1162.65,15:53:00
334,Мужской,42,Среда,1107.91,16:40:00
335,Мужской,37,Суббота,1085.88,17:10:00
336,Мужской,40,Воскресенье,1226.12,12:57:00
337,Женский,71,Четверг,1661.89,15:14:00
338,Женский,34,Воскресенье,1087.36,21:35:00
339,Мужской,38,Четверг,1849.06,21:30:00
340,Мужской,50,Воскресенье,1792.72,11:17:00
341,Женский,51,Понедельник,1754.58,10:07:00
342,Мужской,52,Пятница,1112.23,16:51:00
343,Мужской,44,Четверг,735.38,14:50:00
344,Мужской,17,Четверг,1117.65,19:27:00
345,Мужской,59,Пятница,1918.02,09:04:00
346,Женский,17,Суббота,1376.34,17:01:00
347,Женский,39,Понедельник,778.01,14:00:00
348,Мужской,23,Вторник,645.23,16:08:00
349,Мужской,34,Суббота,160.26,18:55:00
350,Женский,39,Пятница,883.76,16:23:00
351,Женский,39,Воскресенье,1578.29,17:10:00
352,Женский,41,Суббота,886.75,09:22:00
353,Женский,59,Воскресенье,1800.24,19:36:00
354,Мужской,41,Суббота,1024.75,18:10:00
355,Мужской,31,Среда,1082.03,19:33:00
356,Женский,49,Вторник,706.15,12:45:00
357,Мужской,52,Суббота,1382.6,16:53:00
358,Женский,16,Пятница,50.0,17:31:00
359,Женский,43,Понедельник,1066.55,10:05:00
360,Женский,45,Четверг,384.76,14:52:00
361,Мужской,30,Воскресенье,1503.0,18:18:00
362,Женский,55,Пятница,1788.7,15:04:00
363,Мужской,32,Четверг,1173.34,19:13:00
364,Женский,36,Четверг,1780.5,20:09:00
365,Женский,32,Среда,465.54,19:02:00
366,Мужской,35,Четверг,1873.68,12:37:00
367,Женский,18,Четверг,1126.1,15:51:00
368,Женский,13,Понедельник,441.72,18:06:00
369,Мужской,58,Суббота,2027.81,10:01:00
370,Мужской,22,Четверг,186.85,14:32:00
371,Мужской,20,Суббота,287.74,14:53:00
372,Мужской,10,Воскресенье,195.71,17:26:00
373,Мужской,25,Среда,535.51,11:49:00
374,Женский,15,Пятница,71.72,18:37:00
375,Мужской,59,Четверг,2091.54,17:27:00
376,Мужской,50,Воскресенье,1170.57,17:28:00
377,Женский,24,Среда,956.25,18:01:00
378,Мужской,68,Пятница,1374.82,09:53:00
379,Женский,49,Пятница,369.7,15:56:00
380,Мужской,30,Среда,1035.03,21:49:00
381,Мужской,10,Вторник,50.0,19:20:00
382,Женский,69,Пятница,1645.68,10:58:00
383,Женский,14,Суббота,50.0,17:38:00
384,Женский,10,Среда,1493.64,18:36:00
385,Женский,50,Пятница,1755.68,16:47:00
386,Женский,71,Четверг,1772.88,16:11:00
387,Мужской,55,Суббота,2031.85,09:00:00
388,Мужской,43,Вторник,736.84,08:53:00
389,Женский,43,Воскресенье,1431.74,19:19:00
390,Женский,47,Среда,1339.91,16:57:00
391,Женский,46,Четверг,1352.01,09:04:00
392,Мужской,39,Понедельник,1716.18,20:11:00
393,Мужской,36,Вторник,1386.25,19:45:00
394,Женский,34,Пятница,1124.36,21:43:00
395,Мужской,23,Среда,50.0,12:50:00
396,Женский,30,Суббота,419.98,14:32:00
397,Женский,10,Понедельник,438.65,17:06:00
398,Мужской,33,Четверг,1006.69,18:54:00
399,Женский,20,Среда,134.9,16:30:00
400,Женский,18,Понедельник,1865.84,17:00:00
401,Мужской,37,Вторник,1798.2,15:26:00
402,Женский,55,Четверг,1701.06,09:47:00
403,Женский,48,Четверг,1296.02,10:41:00
404,Женский,11,Четверг,413.9,19:01:00
405,Мужской,20,Пятница,224.04,17:31:00
406,Женский,49,Пятница,1318.74,11:25:00
407,Мужской,20,Понедельник,828.88,19:49:00
408,Мужской,31,Четверг,299.12,10:15:00
409,Женский,43,Воскресенье,1327.09,13:26:00
410,Мужской,20,Пятница,622.37,20:07:00
411,Мужской,36,Пятница,66.1,20:58:00
412,Женский,14,Среда,149.81,14:01:00
413,Женский,25,Суббота,593.2,10:09:00
414,Женский,39,Суббота,2023.84,17:13:00
415,Женский,11,Пятница,798.28,16:04:00
416,Мужской,41,Воскресенье,452.26,09:20:00
417,Мужской,34,Вторник,1223.02,18:04:00
418,Мужской,43,Понедельник,386.35,18:51:00
419,Женский,38,Суббота,1601.35,12:29:00
420,Женский,55,Суббота,1164.44,13:39:00
421,Женский,36,Вторник,973.18,12:08:00
422,Женский,28,Среда,1522.9,17:17:00
423,Мужской,36,Понедельник,376.42,18:20:00
424,Женский,43,Среда,461.44,08:57:00
425,Мужской,35,Суббота,708.2,13:17:00
426,Женский,35,Пятница,1519.19,13:30:00
427,Мужской,24,Среда,50.0,10:44:00
428,Женский,25,Четверг,50.0,11:36:00
429,Мужской,13,Понедельник,334.42,18:38:00
430,Мужской,61,Среда,1795.87,16:54:00
431,Мужской,16,Пятница,1220.13,19:34:00
432,Женский,24,Воскресенье,548.42,10:43:00
433,Женский,24,Суббота,574.29,10:26:00
434,Мужской,48,Понедельник,1836.95,09:36:00
435,Мужской,30,Воскресенье,50.0,19:07:00
436,Женский,53,Суббота,1165.74,18:20:00
437,Мужской,24,Суббота,875.21,19:26:00
438,Женский,39,Четверг,1304.61,21:43:00
439,Женский,22,Четверг,485.1,13:38:00
440,Мужской,67,Среда,1657.22,11:04:00
441,Мужской,17,Понедельник,50.0,15:08:00
442,Женский,39,Среда,750.88,12:09:00
443,Мужской,44,Среда,1406.75,17:26:00
444,Мужской,41,Четверг,628.85,18:08:00
445,Женский,32,Суббота,969.49,19:58:00
446,Женский,33,Четверг,1183.44,20:30:00
447,Женский,35,Понедельник,828.73,21:59:00
448,Женский,32,Воскресенье,1025.23,15:33:00
449,Мужской,49,Воскресенье,798.63,10:33:00
450,Мужской,68,Суббота,1556.69,17:06:00
451,Женский,26,Воскресенье,1125.11,11:18:00
452,Женский,14,Пятница,658.49,15:06:00
453,Мужской,33,Воскресенье,666.73,16:52:00
454,Женский,73,Понедельник,1872.11,17:05:00
455,Мужской,22,Четверг,1097.3,20:08:00
456,Женский,59,Среда,455.03,10:48:00
457,Мужской,60,Вторник,2079.54,19:20:00
458,Мужской,26,Вторник,651.87,21:02:00
459,Мужской,43,Пятница,1372.74,17:42:00
460,Мужской,59,Суббота,2078.62,16:34:00
461,Мужской,29,Пятница,194.16,15:13:00
462,Женский,31,Вторник,565.28,10:31:00
463,Женский,26,Суббота,675.73,14:46:00
464,Женский,19,Пятница,288.12,15:21:00
465,Женский,25,Четверг,1667.47,10:42:00
466,Мужской,16,Пятница,191.61,15:44:00
467,Мужской,35,Среда,722.23,10:00:00
468,Женский,23,Среда,862.19,19:32:00
469,Мужской,38,Воскресенье,458.93,14:29:00
470,Женский,11,Среда,322.16,16:59:00
471,Мужской,39,Четверг,1238.73,18:37:00
472,Женский,47,Воскресенье,1073.57,09:42:00
473,Мужской,10,Суббота,453.31,14:09:00
474,Женский,40,Понедельник,835.33,17:42:00
475,Женский,53,Вторник,602.76,09:29:00
476,Женский,16,Понедельник,780.8,17:45:00
477,Мужской,60,Пятница,2377.47,19:09:00
478,Женский,41,Четверг,1129.2,10:05:00
479,Женский,24,Вторник,892.63,13:28:00
480,Женский,34,Воскресенье,1326.36,11:36:00
481,Женский,43,Пятница,525.33,09:13:00
482,Женский,36,Среда,1871.26,20:26:00
483,Мужской,43,Пятница,1261.16,11:10:00
484,Женский,21,Пятница,1535.93,21:21:00
485,Женский,37,Понедельник,673.48,21:55:00
486,Женский,13,Среда,1469.03,14:55:00
487,Мужской,33,Суббота,1347.58,21:59:00
488,Мужской,21,Четверг,996.52,19:12:00
489,Женский,23,Пятница,877.01,10:31:00
490,Женский,53,Четверг,1235.74,16:46:00
491,Мужской,51,Понедельник,1920.27,17:33:00
492,Женский,44,Вторник,1250.18,19:06:00
493,Мужской,18,Четверг,50.0,18:43:00
494,Мужской,30,Среда,341.41,22:00:00
495,Мужской,53,Понедельник,1267.08,16:13:00
496,Мужской,37,Суббота,1195.0,13:06:00
497,Женский,69,Воскресенье,1651.71,16:17:00
498,Мужской,40,Суббота,1709.49,15:21:00
499,Женский,37,Воскресенье,64.45,12:09:00
500,Женский,30,Среда,971.79,20:38:00
501,Женский,42,Воскресенье,231.01,12:51:00
502,Женский,37,Вторник,1419.86,11:53:00
503,Мужской,50,Воскресенье,1252.77,11:18:00
504,Женский,54,Воскресенье,1589.8,08:12:00
505,Женский,28,Суббота,428.06,14:30:00
506,Мужской,20,Воскресенье,1339.73,20:00:00
507,Женский,12,Пятница,1060.86,17:34:00
508,Женский,47,Среда,1531.77,15:23:00
509,Женский,23,Четверг,695.24,18:31:00
510,Женский,10,Пятница,789.93,17:22:00
511,Женский,45,Понедельник,846.55,09:13:00
512,Мужской,77,Пятница,2267.78,16:56:00
513,Женский,39,Воскресенье,1904.74,11:40:00
514,Женский,52,Вторник,1875.31,10:55:00
515,Мужской,41,Суббота,755.2,15:06:00
516,Мужской,38,Воскресенье,1240.71,11:56:00
517,Мужской,53,Воскресенье,713.43,10:45:00
518,Женский,35,Воскресенье,1286.2,10:40:00
519,Женский,44,Пятница,1405.3,15:08:00
520,Мужской,44,Воскресенье,245.09,13:43:00
521,Женский,29,Суббота,299.11,17:03:00
522,Мужской,54,Вторник,1238.43,14:05:00
523,Женский,37,Четверг,889.57,11:59:00
524,Женский,28,Суббота,255.26,20:08:00
525,Женский,48,Среда,1454.49,18:56:00
526,Мужской,26,Пятница,945.74,13:48:00
527,Мужской,40,Пятница,1002.87,10:09:00
528,Мужской,39,Вторник,702.1,15:51:00
529,Мужской,56,Пятница,1944.35,13:17:00
530,Женский,47,Суббота,2067.7,18:48:00
531,Женский,39,Четверг,838.22,15:36:00
532,Женский,52,Понедельник,1033.92,12:32:00
533,Женский,60,Понедельник,1745.6,09:56:00
534,Женский,48,Четверг,1080.99,14:07:00
535,Женский,40,Воскресенье,1030.3,09:33:00
536,Женский,20,Среда,1069.83,12:47:00
537,Женский,24,Пятница,50.0,21:54:00
538,Мужской,35,Среда,1659.15,15:40:00
539,Мужской,30,Среда,936.34,21:00:00
540,Мужской,37,Суббота,834.25,21:34:00
541,Женский,40,Суббота,1055.38,10:31:00
542,Женский,47,Понедельник,1221.21,17:45:00
543,Мужской,38,Четверг,194.4,14:33:00
544,Женский,47,Понедельник,1987.47,17:13:00
545,Женский,40,Четверг,1120.66,16:15:00
546,Мужской,10,Пятница,721.5,17:31:00
547,Мужской,25,Вторник,1275.77,11:40:00
548,Женский,37,Среда,529.42,19:16:00
549,Женский,21,Четверг,956.74,11:21:00
550,Женский,48,Воскресенье,1126.18,16:48:00
551,Женский,62,Воскресенье,1963.39,09:12:00
552,Женский,58,Понедельник,396.39,08:13:00
553,Женский,36,Суббота,970.45,17:12:00
554,Женский,62,Четверг,1238.59,10:36:00
555,Женский,42,Четверг,1356.13,10:11:00
556,Мужской,34,Суббота,1215.02,15:37:00
557,Мужской,30,Воскресенье,546.19,16:43:00
558,Мужской,35,Воскресенье,643.91,16:15:00
559,Женский,34,Пятница,924.67,19:18:00
560,Женский,42,Четверг,691.68,09:46:00
561,Женский,42,Суббота,1560.99,18:19:00
562,Мужской,40,Среда,915.4,12:24:00
563,Мужской,46,Пятница,50.0,11:24:00
564,Мужской,57,Четверг,1252.59,09:18:00
565,Мужской,54,Пятница,860.73,10:34:00
566,Женский,17,Среда,50.0,18:30:00
567,Мужской,10,Вторник,50.0,18:06:00
568,Мужской,54,Воскресенье,1434.7,16:50:00
569,Женский,19,Вторник,1344.32,19:45:00
570,Мужской,36,Пятница,1176.59,18:57:00
571,Женский,22,Среда,436.75,12:33:00
572,Женский,12,Понедельник,767.95,16:33:00
573,Мужской,48,Понедельник,1030.45,19:25:00
574,Женский,51,Вторник,972.7,09:31:00
575,Женский,31,Воскресенье,342.82,17:12:00
