ID,Пол,Возраст,День недели,Потраченная сумма,Время покупки
181,Мужской,71,Среда,1604.6,15:31:00
182,Мужской,33,Пятница,1308.89,09:04:00
183,Женский,64,Вторник,4105.31,17:54:00
184,Мужской,18,Вторник,4405.12,10:33:00
185,Мужской,12,Суббота,2650.9,12:25:00
186,Мужской,40,Четверг,1259.48,21:40:00
187,Женский,49,Пятница,609.07,09:18:00
188,Мужской,45,Пятница,481.54,13:14:00
189,Мужской,33,Вторник,3609.43,19:01:00
190,Женский,15,Понедельник,2129.59,17:19:00
191,Мужской,75,Четверг,4531.53,12:07:00
192,Мужской,13,Пятница,3711.37,21:09:00
193,Мужской,15,Вторник,996.74,18:09:00
194,Мужской,60,Пятница,3088.2,14:53:00
195,Мужской,71,Воскресенье,2205.75,08:24:00
196,Женский,66,Четверг,2907.39,12:43:00
197,Женский,75,Четверг,3703.44,15:28:00
198,Женский,17,Воскресенье,4040.67,13:00:00
199,Мужской,35,Среда,4226.5,09:07:00
200,Мужской,60,Воскресенье,1307.18,08:06:00
201,Мужской,54,Суббота,204.02,21:36:00
202,Женский,53,Суббота,3709.51,10:16:00
203,Мужской,14,Вторник,576.4,10:43:00
204,Мужской,79,Четверг,1608.85,09:22:00
205,Женский,35,Среда,68.89,18:49:00
206,Мужской,77,Среда,3424.26,14:59:00
207,Женский,28,Пятница,877.3,09:12:00
208,Женский,29,Пятница,3293.65,11:56:00
209,Женский,21,Воскресенье,4959.13,08:45:00
210,Мужской,56,Среда,409.72,18:17:00
211,Мужской,10,Воскресенье,431.54,21:19:00
212,Мужской,23,Воскресенье,1734.88,12:21:00
213,Мужской,73,Пятница,4338.61,10:55:00
214,Мужской,47,Четверг,1116.87,10:45:00
215,Мужской,46,Воскресенье,1833.87,18:56:00
216,Мужской,20,Понедельник,389.1,14:09:00
217,Женский,12,Четверг,3827.62,21:14:00
218,Мужской,42,Среда,2071.12,08:53:00
219,Женский,15,Среда,3808.28,19:29:00
220,Мужской,59,Воскресенье,4522.86,14:58:00
221,Мужской,19,Четверг,1202.18,20:35:00
222,Мужской,14,Пятница,4046.61,16:26:00
223,Женский,32,Пятница,342.51,13:40:00
224,Женский,19,Суббота,4499.29,10:06:00
225,Женский,53,Среда,3271.3,14:48:00
226,Женский,11,Вторник,4377.42,14:06:00
227,Мужской,22,Суббота,50.93,12:30:00
228,Женский,49,Пятница,886.95,18:43:00
229,Мужской,11,Четверг,1979.31,18:04:00
230,Мужской,74,Пятница,1928.54,14:18:00
231,Женский,72,Четверг,1172.32,09:12:00
232,Женский,26,Суббота,1938.98,12:07:00
233,Женский,18,Среда,687.8,21:04:00
234,Женский,24,Пятница,2093.17,08:42:00
235,Женский,33,Воскресенье,4021.65,14:16:00
236,Женский,47,Четверг,2421.4,08:40:00
237,Женский,44,Среда,139.1,10:49:00
238,Женский,58,Вторник,2136.15,11:31:00
239,Мужской,78,Четверг,184.52,16:12:00
240,Женский,71,Суббота,4832.9,19:19:00
241,Женский,69,Вторник,680.9,08:38:00
242,Мужской,59,Вторник,3553.06,14:08:00
243,Женский,18,Понедельник,4865.24,20:36:00
244,Мужской,43,Пятница,4138.89,10:30:00
245,Мужской,44,Четверг,3511.61,09:50:00
246,Женский,10,Вторник,4205.33,15:59:00
247,Мужской,49,Понедельник,4909.9,15:15:00
248,Мужской,73,Суббота,3125.66,08:46:00
249,Мужской,31,Среда,2817.96,17:34:00
250,Мужской,69,Воскресенье,3159.78,20:16:00
251,Женский,73,Воскресенье,2686.75,14:05:00
252,Мужской,20,Четверг,3193.69,09:08:00
253,Женский,23,Вторник,2276.72,12:58:00
254,Мужской,69,Воскресенье,1131.29,21:21:00
255,Мужской,39,Пятница,645.22,12:55:00
256,Мужской,44,Воскресенье,388.29,11:22:00
257,Мужской,46,Воскресенье,1353.41,09:00:00
258,Женский,14,Воскресенье,278.31,21:49:00
259,Женский,35,Понедельник,2857.5,13:13:00
260,Мужской,71,Вторник,1454.95,10:40:00
261,Мужской,13,Пятница,4131.45,13:30:00
262,Женский,51,Вторник,417.49,16:47:00
263,Мужской,27,Четверг,1170.44,13:37:00
264,Мужской,49,Четверг,3664.72,18:05:00
265,Мужской,48,Четверг,3014.1,13:03:00
266,Женский,23,Суббота,369.23,16:22:00
267,Женский,41,Воскресенье,4392.34,18:49:00
268,Женский,60,Суббота,4392.45,13:37:00
269,Мужской,47,Понедельник,1685.52,17:09:00
270,Мужской,32,Четверг,1735.01,18:38:00
271,Женский,72,Пятница,4945.69,12:34:00
272,Женский,24,Вторник,3149.57,10:43:00
273,Женский,34,Воскресенье,2680.02,15:22:00
274,Женский,26,Среда,4198.85,13:18:00
275,Мужской,75,Пятница,1462.19,17:48:00
276,Женский,62,Воскресенье,2174.45,16:23:00
277,Мужской,60,Суббота,1375.49,19:25:00
278,Женский,48,Суббота,3956.35,14:26:00
279,Мужской,60,Пятница,2888.08,21:52:00
280,Женский,79,Суббота,3311.18,18:02:00
281,Женский,15,Четверг,1298.92,20:29:00
282,Женский,76,Понедельник,1140.12,20:55:00
283,Женский,16,Вторник,2467.45,19:30:00
284,Мужской,60,Понедельник,3700.95,16:13:00
285,Женский,51,Воскресенье,2649.94,16:09:00
286,Мужской,73,Вторник,211.6,20:00:00
287,Мужской,24,Вторник,4349.33,09:12:00
288,Мужской,38,Понедельник,370.2,16:28:00
289,Мужской,42,Пятница,4781.33,14:29:00
290,Женский,36,Вторник,174.45,18:18:00
291,Мужской,45,Понедельник,3487.53,12:54:00
292,Мужской,38,Вторник,456.92,14:08:00
293,Мужской,47,Среда,4557.85,21:15:00
294,Женский,66,Пятница,2348.94,19:33:00
295,Женский,36,Четверг,730.74,17:08:00
296,Женский,64,Вторник,1737.04,18:48:00
297,Женский,42,Среда,865.88,17:27:00
298,Мужской,77,Четверг,894.38,11:06:00
299,Мужской,75,Четверг,4743.14,20:49:00
300,Женский,19,Воскресенье,2253.97,15:24:00
301,Мужской,14,Вторник,3954.57,17:29:00
302,Мужской,47,Понедельник,3216.05,14:02:00
303,Мужской,22,Вторник,3398.31,10:02:00
304,Женский,40,Среда,701.88,11:07:00
305,Женский,56,Четверг,1209.21,20:21:00
306,Мужской,61,Вторник,3944.41,19:19:00
307,Женский,65,Понедельник,4855.29,14:59:00
308,Женский,24,Воскресенье,1350.24,18:25:00
309,Женский,38,Вторник,1394.27,12:11:00
310,Женский,17,Пятница,2390.84,18:18:00
311,Женский,14,Воскресенье,4920.01,17:08:00
312,Мужской,38,Понедельник,1381.35,13:34:00
313,Женский,56,Среда,2064.51,09:31:00
314,Мужской,77,Четверг,4462.83,16:49:00
315,Мужской,54,Вторник,64.46,09:02:00
316,Женский,11,Понедельник,246.84,19:01:00
317,Мужской,36,Воскресенье,3040.15,16:31:00
318,Мужской,45,Пятница,4541.53,10:18:00
319,Мужской,45,Понедельник,1232.34,19:37:00
320,Женский,35,Суббота,2374.73,11:04:00
321,Женский,52,Пятница,2279.8,11:24:00
322,Мужской,36,Воскресенье,2391.21,20:51:00
323,Женский,78,Среда,3131.47,11:33:00
324,Женский,29,Четверг,2375.23,12:15:00
325,Женский,20,Воскресенье,2264.97,10:14:00
326,Женский,47,Среда,2397.73,17:32:00
327,Мужской,15,Вторник,2974.79,21:41:00
328,Мужской,32,Понедельник,2708.19,09:27:00
329,Женский,56,Суббота,4277.97,21:55:00
330,Женский,55,Пятница,295.01,11:26:00
331,Мужской,21,Пятница,4174.92,10:08:00
332,Мужской,22,Понедельник,4227.43,21:42:00
333,Женский,71,Суббота,1460.29,08:02:00
334,Мужской,69,Понедельник,2341.12,20:33:00
335,Женский,52,Вторник,2220.77,10:00:00
336,Женский,77,Среда,1131.62,14:24:00
337,Мужской,14,Воскресенье,2014.14,18:13:00
338,Мужской,46,Пятница,269.72,08:37:00
339,Женский,40,Вторник,1425.22,13:40:00
340,Женский,18,Среда,4092.58,18:44:00
341,Мужской,60,Вторник,1458.58,19:53:00
342,Женский,38,Суббота,4100.12,08:20:00
343,Мужской,49,Пятница,2681.42,12:01:00
344,Женский,50,Воскресенье,4405.32,15:34:00
345,Мужской,20,Понедельник,2895.16,18:20:00
346,Мужской,32,Понедельник,196.86,13:02:00
347,Мужской,10,Среда,3393.33,17:55:00
348,Женский,55,Воскресенье,272.03,17:54:00
349,Женский,30,Четверг,2280.46,21:22:00
350,Мужской,45,Суббота,4650.66,09:08:00
351,Женский,63,Среда,867.76,10:08:00
352,Мужской,66,Четверг,1979.87,11:15:00
353,Мужской,10,Вторник,3662.81,10:19:00
354,Женский,72,Суббота,4417.18,15:23:00
355,Женский,63,Вторник,3371.17,12:42:00
356,Мужской,64,Воскресенье,1327.96,13:11:00
357,Женский,49,Пятница,3389.31,20:25:00
358,Женский,24,Суббота,1518.8,16:54:00
359,Мужской,30,Четверг,3606.22,19:04:00
360,Мужской,56,Пятница,4772.46,12:36:00
361,Женский,62,Понедельник,3620.9,09:00:00
362,Мужской,18,Четверг,4321.26,13:18:00
363,Мужской,61,Среда,60.41,08:51:00
364,Женский,66,Понедельник,3601.98,10:32:00
365,Мужской,35,Понедельник,4156.46,20:28:00
366,Мужской,50,Среда,250.77,13:10:00
367,Женский,44,Суббота,4364.41,21:33:00
368,Женский,72,Понедельник,1320.64,17:03:00
369,Мужской,34,Воскресенье,3343.2,17:26:00
370,Мужской,47,Четверг,4011.76,14:28:00
371,Женский,11,Пятница,3330.19,17:07:00
372,Женский,16,Понедельник,506.81,18:21:00
373,Женский,43,Четверг,3001.79,10:56:00
374,Женский,26,Вторник,2770.44,14:01:00
375,Мужской,52,Четверг,4506.59,13:13:00
376,Женский,68,Пятница,2050.99,21:26:00
377,Женский,60,Четверг,1639.35,09:36:00
378,Мужской,63,Среда,3761.76,11:32:00
379,Женский,33,Пятница,2092.74,21:48:00
380,Мужской,34,Суббота,3248.18,10:16:00
381,Женский,61,Вторник,3249.93,08:05:00
382,Женский,79,Среда,4445.79,09:48:00
383,Женский,42,Суббота,3013.53,17:06:00
384,Мужской,58,Четверг,2535.66,08:38:00
385,Мужской,38,Пятница,737.41,19:01:00
386,Женский,72,Вторник,622.9,15:04:00
387,Мужской,31,Среда,813.89,18:29:00
388,Мужской,35,Суббота,900.65,12:20:00
389,Мужской,37,Суббота,3207.49,15:05:00
390,Мужской,58,Вторник,3717.86,09:26:00
391,Мужской,58,Воскресенье,2673.46,15:44:00
392,Мужской,29,Четверг,4153.64,09:15:00
393,Женский,72,Вторник,4956.75,15:50:00
394,Женский,70,Суббота,4109.06,14:53:00
395,Мужской,58,Понедельник,3489.67,21:44:00
396,Женский,10,Среда,2685.84,20:05:00
397,Женский,22,Вторник,2271.82,15:36:00
398,Женский,60,Воскресенье,467.74,12:44:00
399,Женский,65,Суббота,2026.88,11:58:00
400,Мужской,71,Четверг,4555.17,19:16:00
401,Женский,41,Суббота,4049.71,17:58:00
402,Женский,39,Четверг,1119.45,18:52:00
403,Мужской,38,Вторник,2359.71,19:11:00
404,Мужской,58,Четверг,4092.78,17:17:00
405,Женский,54,Пятница,383.55,14:11:00
406,Женский,39,Пятница,1967.59,16:14:00
407,Женский,25,Пятница,4266.61,18:23:00
408,Женский,49,Воскресенье,2049.29,08:44:00
409,Женский,28,Воскресенье,434.19,14:40:00
410,Женский,27,Понедельник,2735.55,12:06:00
411,Мужской,10,Воскресенье,4315.63,18:15:00
412,Женский,56,Вторник,2971.91,17:56:00
413,Женский,75,Суббота,1170.08,15:29:00
414,Мужской,47,Суббота,1951.99,16:04:00
415,Мужской,60,Понедельник,2278.11,18:45:00
416,Мужской,72,Воскресенье,2917.37,18:19:00
417,Мужской,13,Четверг,3808.79,08:17:00
418,Женский,10,Понедельник,539.42,18:05:00
419,Женский,17,Четверг,4453.78,19:01:00
420,Женский,38,Четверг,110.93,20:37:00
421,Женский,64,Среда,1881.76,12:48:00
422,Женский,12,Суббота,185.73,14:53:00
423,Женский,41,Пятница,1995.22,20:00:00
424,Мужской,19,Воскресенье,2652.77,18:37:00
425,Женский,43,Четверг,2582.82,11:54:00
426,Мужской,64,Среда,869.86,14:55:00
427,Мужской,41,Суббота,3246.42,16:18:00
428,Женский,59,Пятница,271.65,18:33:00
429,Мужской,16,Четверг,3821.44,18:49:00
430,Женский,17,Четверг,4735.89,09:54:00
431,Мужской,74,Понедельник,1731.86,19:13:00
432,Женский,66,Понедельник,2610.33,19:52:00
433,Мужской,76,Суббота,1925.61,11:53:00
434,Женский,68,Пятница,83.22,16:59:00
435,Женский,63,Четверг,1960.08,08:10:00
436,Женский,76,Суббота,3969.02,11:25:00
437,Женский,60,Суббота,3000.14,19:18:00
438,Женский,17,Вторник,551.24,12:06:00
439,Мужской,43,Воскресенье,4243.34,17:18:00
440,Мужской,44,Понедельник,2678.87,20:37:00
441,Мужской,41,Пятница,4216.53,10:06:00
442,Женский,55,Четверг,2922.1,10:26:00
443,Мужской,25,Суббота,2820.46,09:57:00
444,Женский,77,Четверг,571.03,14:21:00
445,Женский,46,Вторник,878.43,14:51:00
446,Мужской,63,Пятница,4861.53,19:03:00
447,Мужской,23,Суббота,1181.01,17:43:00
448,Женский,64,Четверг,4888.39,14:02:00
449,Мужской,57,Понедельник,2682.97,16:28:00
450,Женский,16,Воскресенье,722.16,10:16:00
451,Женский,16,Вторник,541.55,10:54:00
452,Женский,42,Пятница,1083.88,12:48:00
453,Женский,32,Вторник,4631.9,16:00:00
454,Женский,28,Понедельник,2100.04,08:18:00
455,Мужской,28,Пятница,2007.4,11:14:00
456,Мужской,45,Вторник,1600.37,13:29:00
457,Женский,38,Среда,777.96,10:54:00
458,Женский,69,Понедельник,2464.86,15:28:00
459,Мужской,11,Понедельник,693.74,13:53:00
460,Мужской,10,Понедельник,4185.63,16:18:00
461,Женский,56,Среда,1883.47,10:20:00
462,Мужской,78,Среда,1905.28,20:37:00
463,Женский,29,Четверг,2396.33,09:32:00
464,Мужской,20,Суббота,2248.43,11:58:00
465,Женский,11,Воскресенье,4974.55,11:24:00
466,Мужской,76,Вторник,2749.64,17:19:00
467,Женский,21,Четверг,486.6,15:12:00
468,Мужской,29,Вторник,3054.04,12:04:00
469,Мужской,14,Воскресенье,800.34,21:51:00
470,Женский,46,Суббота,203.14,13:16:00
471,Мужской,47,Среда,4855.17,12:54:00
472,Женский,18,Суббота,3879.02,18:39:00
473,Мужской,62,Среда,4901.54,12:41:00
474,Женский,53,Воскресенье,2415.5,08:16:00
475,Мужской,33,Суббота,2684.67,09:10:00
476,Женский,39,Четверг,883.27,12:28:00
477,Мужской,68,Пятница,1272.19,13:24:00
478,Женский,23,Четверг,4200.82,21:13:00
479,Мужской,18,Вторник,1813.12,13:04:00
480,Женский,49,Четверг,4142.73,15:30:00
481,Женский,75,Воскресенье,3559.62,08:06:00
482,Женский,34,Понедельник,927.0,13:13:00
483,Мужской,31,Вторник,2561.86,21:36:00
484,Женский,13,Суббота,3403.07,09:42:00
485,Мужской,35,Вторник,1213.43,21:40:00
486,Женский,67,Пятница,4161.91,11:12:00
487,Мужской,38,Среда,2746.9,20:32:00
488,Женский,46,Суббота,867.95,17:33:00
489,Мужской,79,Вторник,2935.77,16:48:00
490,Мужской,27,Суббота,4998.58,10:50:00
491,Женский,51,Суббота,795.08,16:56:00
492,Мужской,50,Суббота,4092.95,12:10:00
493,Мужской,47,Среда,1076.18,20:44:00
494,Женский,43,Воскресенье,3922.82,14:26:00
495,Мужской,26,Четверг,3686.16,11:26:00
496,Мужской,46,Суббота,1537.42,17:00:00
497,Мужской,34,Понедельник,1662.82,18:28:00
498,Женский,36,Воскресенье,3972.98,14:55:00
499,Мужской,66,Пятница,2334.16,21:13:00
500,Женский,40,Среда,3667.55,14:19:00
501,Мужской,15,Вторник,782.52,10:23:00
502,Мужской,49,Среда,4270.16,08:24:00
503,Мужской,21,Вторник,3568.88,21:41:00
504,Женский,62,Среда,4539.37,19:07:00
505,Мужской,19,Вторник,705.24,09:12:00
506,Мужской,54,Суббота,2985.42,18:31:00
507,Женский,26,Четверг,3015.65,21:43:00
508,Мужской,35,Вторник,1799.63,21:52:00
509,Женский,71,Вторник,2319.41,09:32:00
510,Женский,55,Понедельник,238.01,16:24:00
511,Мужской,73,Вторник,3742.01,17:57:00
512,Женский,11,Понедельник,2769.15,13:35:00
513,Мужской,63,Пятница,335.82,15:04:00
514,Женский,74,Суббота,3419.74,16:18:00
515,Женский,60,Понедельник,2360.57,14:03:00
516,Мужской,62,Четверг,220.58,18:29:00
517,Женский,45,Воскресенье,4849.56,20:24:00
518,Женский,35,Суббота,4748.11,11:18:00
519,Женский,38,Понедельник,2588.87,19:57:00
520,Женский,30,Суббота,513.68,14:52:00
521,Женский,20,Суббота,3785.38,13:38:00
522,Мужской,49,Суббота,2485.06,18:58:00
523,Женский,20,Пятница,1547.12,15:08:00
524,Мужской,45,Четверг,2482.52,21:02:00
525,Женский,68,Среда,2636.1,10:18:00
526,Мужской,48,Среда,2835.42,19:32:00
527,Мужской,63,Понедельник,2234.06,17:01:00
528,Женский,64,Суббота,3048.49,08:56:00
529,Женский,33,Понедельник,4597.74,11:51:00
530,Женский,31,Пятница,1843.23,18:57:00
531,Мужской,78,Пятница,3642.3,15:14:00
532,Женский,65,Вторник,4477.54,14:23:00
533,Мужской,42,Пятница,2307.1,17:19:00
534,Мужской,45,Вторник,2245.11,11:13:00
535,Мужской,29,Четверг,3030.48,20:15:00
536,Женский,71,Понедельник,2977.46,18:47:00
537,Женский,35,Воскресенье,4042.62,16:53:00
538,Мужской,75,Четверг,2408.59,16:37:00
539,Мужской,49,Пятница,4980.81,19:55:00
540,Женский,26,Четверг,344.38,20:30:00
541,Мужской,10,Четверг,65.68,11:04:00
542,Женский,70,Четверг,3218.98,12:51:00
543,Мужской,52,Пятница,1527.25,13:34:00
544,Женский,51,Воскресенье,1239.89,20:11:00
545,Мужской,34,Суббота,1593.9,09:55:00
546,Женский,48,Четверг,1317.44,21:44:00
547,Мужской,44,Вторник,202.41,08:48:00
548,Женский,12,Пятница,4859.09,19:24:00
549,Женский,53,Четверг,1142.69,09:21:00
550,Мужской,60,Воскресенье,3683.45,21:53:00
551,Мужской,21,Суббота,3824.85,13:32:00
552,Женский,28,Пятница,4649.82,17:16:00
553,Мужской,53,Среда,201.22,13:34:00
554,Женский,68,Суббота,4366.64,16:51:00
555,Мужской,58,Вторник,2659.77,11:40:00
556,Женский,70,Четверг,3181.09,18:34:00
557,Женский,26,Воскресенье,3240.13,20:25:00
558,Женский,66,Среда,4108.0,20:12:00
559,Женский,64,Воскресенье,1700.37,13:22:00
560,Женский,56,Среда,3678.6,08:02:00
561,Женский,21,Пятница,2666.46,19:33:00
562,Мужской,71,Среда,3977.3,11:25:00
563,Мужской,17,Вторник,4953.2,21:51:00
564,Мужской,30,Вторник,1043.22,08:39:00
565,Женский,79,Понедельник,4973.51,08:58:00
566,Женский,34,Вторник,494.57,17:33:00
567,Женский,21,Суббота,61.47,18:43:00
